"filename", "language", "JSON", "JavaScript", "HTML", "vue", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\elements\List.vue", "vue", 0, 0, 0, 372, 0, 0, 0, 0, 68, 440
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\elements\ListEdit.vue", "vue", 0, 0, 0, 130, 0, 0, 0, 4, 17, 151
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\elements\ListTitle.vue", "vue", 0, 0, 0, 47, 0, 0, 0, 0, 4, 51
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\view\NodeController.vue", "vue", 0, 0, 0, 242, 0, 0, 0, 0, 35, 277
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\view\elements\DynamicPropEdit.vue", "vue", 0, 0, 0, 160, 0, 0, 0, 3, 30, 193
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\view\elements\Node.vue", "vue", 0, 0, 0, 362, 0, 0, 0, 0, 76, 438
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\view\elements\NodeEdit.vue", "vue", 0, 0, 0, 142, 0, 0, 0, 1, 20, 163
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\ListController\view\elements\NodeTitle.vue", "vue", 0, 0, 0, 47, 0, 0, 0, 0, 4, 51
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\FileController\elements\TreeNode.vue", "vue", 0, 0, 0, 233, 0, 0, 0, 0, 30, 263
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\ListController.vue", "vue", 0, 0, 0, 199, 0, 0, 0, 0, 29, 228
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\elements\DynamicPropEdit.vue", "vue", 0, 0, 0, 160, 0, 0, 0, 3, 30, 193
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\elements\List.vue", "vue", 0, 0, 0, 362, 0, 0, 0, 0, 70, 432
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\elements\ListEdit.vue", "vue", 0, 0, 0, 130, 0, 0, 0, 4, 17, 151
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\elements\ListTitle.vue", "vue", 0, 0, 0, 53, 0, 0, 0, 0, 4, 57
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\view\NodeController.vue", "vue", 0, 0, 0, 230, 0, 0, 0, 0, 35, 265
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\view\elements\DynamicPropEdit.vue", "vue", 0, 0, 0, 160, 0, 0, 0, 3, 30, 193
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\view\elements\Node.vue", "vue", 0, 0, 0, 372, 0, 0, 0, 0, 72, 444
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\view\elements\NodeEdit.vue", "vue", 0, 0, 0, 142, 0, 0, 0, 1, 20, 163
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\FunctionPages\ListController\view\elements\NodeTitle.vue", "vue", 0, 0, 0, 52, 0, 0, 0, 0, 4, 56
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Home\Home.vue", "vue", 0, 0, 0, 80, 0, 0, 0, 0, 6, 86
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Index\Menu.vue", "vue", 0, 0, 0, 213, 0, 0, 0, 1, 40, 254
